,symbol,date,iexId,isEnabled,name,type
203,AHL-D,2018-06-07,14581,True,Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares,ps
204,AHPA,2018-06-07,12139,True,Avista Healthcare Public Acquisition Corp.,cs
205,AHPAU,2018-06-07,11786,True,Avista Healthcare Public Acquisition Corp. Unit,su
206,AHPAW,2018-06-07,12144,True,Avista Healthcare Public Acquisition Corp. Warrants,N/A
207,AHPI,2018-06-07,191,True,Allied Healthcare Products Inc.,cs
208,AHT,2018-06-07,193,True,Ashford Hospitality Trust Inc,cs
209,AHT-D,2018-06-07,195,True,Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock,ps
210,AHT-F,2018-06-07,11628,True,Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock,ps
211,AHT-G,2018-06-07,12003,True,Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock,ps
212,AHT-H,2018-06-07,13325,True,Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock,ps
213,AHT-I,2018-06-07,13823,True,Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock,ps
214,AI,2018-06-07,198,True,Arlington Asset Investment Corp Class A (new),cs
215,AI-B,2018-06-07,12907,True,Arlington Asset Investment Corp 7.00% Series B Cumulative Perpetual Redeemable Preferred Stock,ps
216,AIA,2018-06-07,199,True,iShares Asia 50 ETF,et
217,AIC,2018-06-07,9861,True,,N/A
218,AIEQ,2018-06-07,13582,True,AI Powered Equity,N/A
219,AIF,2018-06-07,201,True,Apollo Tactical Income Fund Inc.,cs
220,AIG,2018-06-07,202,True,American International Group Inc.,cs
221,AIG+,2018-06-07,7912,True,American International Group Inc. Warrant expiring January 19 2021,N/A
222,AIHS,2018-06-07,13684,True,Senmiao Technology Limited,cs
223,AIIQ,2018-06-07,14714,False,AI POWERED INTERNATIONAL EQU,N/A
224,AIMC,2018-06-07,203,True,Altra Industrial Motion Corp.,cs
225,AIMT,2018-06-07,10269,True,Aimmune Therapeutics Inc.,cs
226,AIN,2018-06-07,204,True,Albany International Corporation,cs
227,AINC,2018-06-07,9471,True,Ashford Inc.,cs
228,AINV,2018-06-07,205,True,Apollo Investment Corporation,cs
229,AIPT,2018-06-07,9594,True,Precision Therapeutics Inc.,cs
230,AIQ,2018-06-07,14539,False,Global X Future Analytics Tech ETF,N/A
231,AIR,2018-06-07,207,True,AAR Corp.,cs
232,AIRG,2018-06-07,11671,True,Airgain Inc.,cs
233,AIRI,2018-06-07,208,True,Air Industries Group,cs
234,AIRR,2018-06-07,8334,True,First Trust RBA American Industrial Renaissance ETF,N/A
235,AIRT,2018-06-07,210,True,Air T Inc.,cs
236,AIT,2018-06-07,211,True,Applied Industrial Technologies Inc.,cs
237,AIV,2018-06-07,212,True,Apartment Investment and Management Company,cs
238,AIV-A,2018-06-07,8656,True,Apartment Investment and Management Company Preferred Series Class A,ps
239,AIW,2018-06-07,214,True,Arlington Asset Investment Corp 6.625% Notes due 2023,N/A
240,AIY,2018-06-07,216,True,Apollo Investment Corporation 6.875% Senior Notes due 2043,N/A
241,AIZ,2018-06-07,217,True,Assurant Inc.,cs
242,AIZP,2018-06-07,14256,True,Assurant Inc. 6.50% Series D Mandatory Convertible Preferred Stock $1.00 par value,ps
243,AJG,2018-06-07,219,True,Arthur J. Gallagher & Co.,cs
244,AJRD,2018-06-07,3085,True,Aerojet Rocketdyne Holdings Inc.,cs
245,AJX,2018-06-07,9721,True,Great Ajax Corp.,cs
246,AJXA,2018-06-07,12830,True,Great Ajax Corp. 7.25% Convertible Senior Notes due 2024,N/A
247,AKAM,2018-06-07,220,True,Akamai Technologies Inc.,cs
248,AKAO,2018-06-07,8311,True,Achaogen Inc.,cs
249,AKBA,2018-06-07,8337,True,Akebia Therapeutics Inc.,cs
250,AKCA,2018-06-07,13082,True,Akcea Therapeutics Inc.,cs
251,AKER,2018-06-07,8225,True,Akers Biosciences Inc,cs
252,AKG,2018-06-07,221,True,Asanko Gold Inc.,cs
253,AKO.A,2018-06-07,222,True,Embotelladora Andina S.A.,cs
254,AKO.B,2018-06-07,223,True,Embotelladora Andina S.A.,cs
255,AKP,2018-06-07,224,True,Alliance California Municipal Income Fund Inc,cs
256,AKR,2018-06-07,225,True,Acadia Realty Trust,cs
257,AKRX,2018-06-07,226,True,Akorn Inc.,cs
258,AKS,2018-06-07,227,True,AK Steel Holding Corporation,cs
259,AKTS,2018-06-07,12461,True,Akoustis Technologies Inc.,cs
260,AKTX,2018-06-07,8249,True,Akari Therapeutics Plc,cs
261,AL,2018-06-07,228,True,Air Lease Corporation Class A,cs
262,ALB,2018-06-07,229,True,Albemarle Corporation,cs
263,ALBO,2018-06-07,752,True,Albireo Pharma Inc.,cs
264,ALCO,2018-06-07,230,True,Alico Inc.,cs
